Name,Category,Chapters Read,Date,Genre,Notes,Publication Status,Read Status,Score /5,Total Chapters
Solo Leveling,Manhwa,201,,"Action, Adventure",,Completed,Completed,⭐️⭐️⭐️⭐️⭐️,201
Tower Of God,Manhwa,580,,"Action, Adventure",,Ongoing,Reading,⭐️⭐️⭐️⭐️⭐️,585
Naruto,Manga,700,,,,Completed,Completed,⭐️⭐️⭐️⭐️⭐️,700
Boruto: Naruto Next Generations,Manga,80,,,,Completed,Completed,⭐️⭐️⭐️⭐️⭐️,80
Dr Stone,Manga,,,,,Completed,Reading,,
I Am The Sorcerer King,Manhwa,,,,,Completed,Completed,,
Omniscient Reader’s Viewpoint,Manhwa,,,,,Ongoing,Reading,,
The Great Mage Returns After 4000 Years,Manhwa,,,,,Ongoing,Reading,,
The Beginning After The End,Manhwa,,,,,Ongoing,Reading,,
The Return Of The Disaster Class Hero,Manhwa,,,,,Ongoing,Reading,,
The Gamer,Manhwa,,,,,Ongoing,Reading,,
God Of Highschool,Manhwa,,,,,Completed,Reading,,
My Hero Academia,Manga,,,,,Ongoing,Reading,,
Hardcore Leveling Warrior,Manhwa,,,,,Completed,Reading,,
Second Life Ranker,Manhwa,,,,,Ongoing,Reading,,
Reverse Villain,Manhwa,,,,,Ongoing,Reading,,
Tomb Raider King,Manhwa,,,,,Ongoing,Reading,,
Jujutsu Kaisen,Manga,240,,,,Ongoing,Reading,⭐️⭐️⭐️⭐️⭐️,240
Bungo Stray Dogs,Manga,110,,,,Ongoing,Reading,⭐️⭐️⭐️⭐️⭐️,110
Boruto: Two Blue Vortex,Manga,,,,,Ongoing,Reading,⭐️⭐️⭐️⭐️⭐️,
Naruto: The Seventh Hokage And The Scarlet Spring,Manga,10,,,,Completed,Completed,⭐️⭐️⭐️⭐️⭐️,10
Sasuke Retsuden: The Uchiha Descendants and the Heavenly Stardust,Manga,3,,,,Completed,Reading,⭐️⭐️⭐️⭐️⭐️,10
